Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
88,"L Yang, B Kruse, SJ Miklavcic","Revised Kubelka–Munk theory. II. Unified framework for homogeneous and inhomogeneous optical media",2004,"JOSA A","opg.optica.org","https://opg.optica.org/abstract.cfm?uri=josaa-21-10-1942","https://scholar.google.com/scholar?cites=3638897734529678732&as_sdt=2005&sciodt=2007&hl=en",11,"2024-02-09 13:10:22","","","","",,,,,88,4.40,29,3,20,"We extend the applicability of the recently revised Kubelka–Munk (K–M) theory to inhomogeneous optical media by treating inhomogeneous ink penetration of the substrate. We …","https://www.researchgate.net/profile/Doufnoune-Rachida/post/What-is-the-difference-between-Kubelka-Munk-function-and-Tauc-function/attachment/601c3bdc79bb6100010408e7/AS%3A987555839352839%401612463068126/download/Revised+Kubelka%E2%80%93Munk+theory+II+Unified+framework+for+homogeneous+and+inhomogeneous+optical+media.pdf","https://scholar.google.com/scholar?q=related:jH2duDX2fzIJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
12,"G Kortüm, G Kortüm","Experimental testing of the “Kubelka-Munk” theory",1969,"Reflectance Spectroscopy: Principles, Methods …","Springer","https://link.springer.com/chapter/10.1007/978-3-642-88071-1_5","https://scholar.google.com/scholar?cites=17362841202919955819&as_sdt=2005&sciodt=2007&hl=en",12,"2024-02-09 13:10:22","","10.1007/978-3-642-88071-1_5","","",,,,,12,0.22,6,2,55,"… measured data around the KubelkaMunk straight line here … concerning the testing ofthe KubelkaMunk theory are based on … the diagrams calculated via the KubelkaMunk theory (eg see …","","https://scholar.google.com/scholar?q=related:a12P7xQ09fAJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
17,"LM Schabbach, BC dos Santos, LS De Bortoli…","Application of Kubelka-Munk model on the optical characterization of translucent dental zirconia",2021,"Materials Chemistry and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0254058420313547","https://scholar.google.com/scholar?cites=10639569769686556134&as_sdt=2005&sciodt=2007&hl=en",13,"2024-02-09 13:10:22","","","","",,,,,17,5.67,4,4,3,"… This study proposes the use of the Kubelka–Munk theory to evaluate the optical properties: scattering … The Kubelka-Munk parameters had a good agreement with the microstructural …","","https://scholar.google.com/scholar?q=related:5t0mrVVYp5MJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
50,"T Shakespeare, J Shakespeare","A fluorescent extension to the Kubelka–Munk model",2003,"… of Japan, Dutch Society for the …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/col.10109","https://scholar.google.com/scholar?cites=6233856990179907439&as_sdt=2005&sciodt=2007&hl=en",14,"2024-02-09 13:10:22","","10.1002/col.10109","","",,,,,50,2.38,25,2,21,"… , single constant Kubelka–Munktype colorant formulation algorithms have been used for color control in the paper industry. One of the limitations of the Kubelka–Munk approaches is …","","https://scholar.google.com/scholar?q=related:b1dCeOcbg1YJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
55,"P Edström","Examination of the revised Kubelka-Munk theory: considerations of modeling strategies",2007,"JOSA A","opg.optica.org","https://opg.optica.org/abstract.cfm?uri=josaa-24-2-548","https://scholar.google.com/scholar?cites=17634068945142548505&as_sdt=2005&sciodt=2007&hl=en",15,"2024-02-09 13:10:22","","","","",,,,,55,3.24,55,1,17,"… Kubelka–Munk theory are inadequately derived. The main conclusion is that the revised Kubelka–Munk … Instead, the original Kubelka–Munk theory should be used where its accuracy is …","","https://scholar.google.com/scholar?q=related:GQj4u0bMuPQJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
60,"WE Vargas","Inversion methods from Kubelka–Munk analysis",2002,"Journal of Optics A: Pure and Applied Optics","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1464-4258/4/4/314/meta","https://scholar.google.com/scholar?cites=16031467845141354986&as_sdt=2005&sciodt=2007&hl=en",16,"2024-02-09 13:10:22","","10.1088/1464-4258/4/4/314","","",,,,,60,2.73,60,1,22,"Diffuse reflectance spectra of light scattering and absorbing coatings are considered in terms of the Kubelka–Munk theory. Partial reflection of the incident diffuse radiation in the front …","","https://scholar.google.com/scholar?q=related:6lm_GRE3e94J:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
136,"L Tolvaj, K Mitsui, D Varga","Validity limits of Kubelka–Munk theory for DRIFT spectra of photodegraded solid wood",2011,"Wood Science and Technology","Springer","https://link.springer.com/article/10.1007/s00226-010-0314-x","https://scholar.google.com/scholar?cites=13511464965696365722&as_sdt=2005&sciodt=2007&hl=en",17,"2024-02-09 13:10:22","","10.1007/s00226-010-0314-x","","",,,,,136,10.46,45,3,13,"The validity of the Kubelka–Munk (KM) theory was investigated to determine the IR absorption spectra of wood based on diffuse reflection infrared Fourier transform (DRIFT) …","","https://scholar.google.com/scholar?q=related:mqR3q8xdgrsJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
178,"L Yang, SJ Miklavcic","Revised Kubelka–Munk theory. III. A general theory of light propagation in scattering and absorptive media",2005,"JOSA A","opg.optica.org","https://opg.optica.org/abstract.cfm?uri=josaa-22-9-1866","https://scholar.google.com/scholar?cites=1444099890131243573&as_sdt=2005&sciodt=2007&hl=en",18,"2024-02-09 13:10:22","","","","",,,,,178,9.37,89,2,19,"… The theory is a generalization of the revised Kubelka–Munk theory, extending its … original Kubelka–Munk model. The results of simulations of the spectral dependence of Kubelka–Munk …","https://www.researchgate.net/profile/Stanley-Miklavcic/publication/7553583_Revised_Kubelka-Munk_theory_III_A_general_theory_of_light_propagation_in_scattering_and_absorptive_media/links/55cd4a3808aebd6b88e05f8d/Revised-Kubelka-Munk-theory-III-A-general-theory-of-light-propagation-in-scattering-and-absorptive-media.pdf","https://scholar.google.com/scholar?q=related:NRJ06zJ5ChQJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
108,"R Molenaar, JJ ten Bosch, JR Zijp","Determination of Kubelka–Munk scattering and absorption coefficients by diffuse illumination",1999,"Applied optics","opg.optica.org","https://opg.optica.org/abstract.cfm?uri=ao-38-10-2068","https://scholar.google.com/scholar?cites=14275907716778351356&as_sdt=2005&sciodt=2007&hl=en",19,"2024-02-09 13:10:22","","","","",,,,,108,4.32,36,3,25,"… Kubelka–Munk theory starts with a sample that is illuminated diffusely from above. The … In analogy with the Kubelka–Munk expression for reflectance of a sample with background,[…","https://www.researchgate.net/profile/Sascha-Hein-3/post/How-do-I-find-the-refractive-index-of-a-ceramic-powder/attachment/5c2754603843b006754db2ac/AS%3A709130838867969%401546081375947/download/Molenaar+Determination+of+Kubelka_Munk+scattering+and+absorption+coefficients+by+diffuse+illumination+1999.pdf","https://scholar.google.com/scholar?q=related:_NrUcG42HsYJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
14,"S Dai, X Pan, L Ma, X Huang, C Du, Y Qiao…","Discovery of the linear region of near infrared diffuse reflectance spectra using the kubelka-munk theory",2018,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fchem.2018.00154/full","https://scholar.google.com/scholar?cites=9751829486116712327&as_sdt=2005&sciodt=2007&hl=en",20,"2024-02-09 13:10:22","HTML","10.3389/fchem.2018.00154","","",,,,,14,2.33,2,7,6,"Particle size is of great importance for the quantitative model of the NIR diffuse reflectance. In this paper, the effect of sample particle size on the measurement of harpagoside in Radix …","https://www.frontiersin.org/articles/10.3389/fchem.2018.00154/full","https://scholar.google.com/scholar?q=related:h68qDkB1VYcJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
78,"BJ Brinkworth","Interpretation of the Kubelka-Munk coefficients in reflection theory",1972,"Applied Optics","opg.optica.org","https://opg.optica.org/abstract.cfm?uri=ao-11-6-1434","https://scholar.google.com/scholar?cites=2309223239191407752&as_sdt=2005&sciodt=2007&hl=en",21,"2024-02-09 13:10:22","","","","",,,,,78,1.50,78,1,52,"The methods of Kubelka and Munk,[1],[2] for the prediction of reflection by particulate suspensions, have been widely used in the paint and paper-making industries. In the two-flux …","","https://scholar.google.com/scholar?q=related:iKwUH00CDCAJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
229,"AA Christy, OM Kvalheim, RA Velapoldi","Quantitative analysis in diffuse reflectance spectrometry: a modified Kubelka-Munk equation",1995,"Vibrational Spectroscopy","Elsevier","https://www.sciencedirect.com/science/article/pii/092420319400065O","https://scholar.google.com/scholar?cites=2360234228346864059&as_sdt=2005&sciodt=2007&hl=en",22,"2024-02-09 13:10:22","","","","",,,,,229,7.90,76,3,29,"… spectra and make a modification in the Kubelka-Munk equation, to include particle size so … We will also look at the Kubelka-Munk model and Simmon's modified Kubelka-Munk model …","","https://scholar.google.com/scholar?q=related:u0FVj4Y8wSAJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
8,"EA Chavarriaga Miranda, NA Correa Rojas…","Color prediction in ceramic enamels using the kubelka munk model",2015,"Tecciencia","scielo.org.co","http://www.scielo.org.co/scielo.php?pid=S1909-36672015000200002&script=sci_arttext","https://scholar.google.com/scholar?cites=6569802627224083444&as_sdt=2005&sciodt=2007&hl=en",23,"2024-02-09 13:10:22","HTML","","","",,,,,8,0.89,3,3,9,"… In the present research, the Kubelka-Munk model was applied for predicting color in glazes used in ceramic decoration. The model relates the absorption coefficient, scattering …","http://www.scielo.org.co/scielo.php?pid=S1909-36672015000200002&script=sci_arttext","https://scholar.google.com/scholar?q=related:9JseYK6gLFsJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
157,"AB Murphy","Modified Kubelka–Munk model for calculation of the reflectance of coatings with optically-rough surfaces",2006,"Journal of Physics D: Applied Physics","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/0022-3727/39/16/008/meta","https://scholar.google.com/scholar?cites=2189369253111268527&as_sdt=2005&sciodt=2007&hl=en",24,"2024-02-09 13:10:22","","10.1088/0022-3727/39/16/008","","",,,,,157,8.72,157,1,18,"… The Kubelka–Munk two-flux radiative transfer model is … Here, the application of the Kubelka–Munk two-flux model to the … The modified Kubelka–Munk model is tested in the case of …","","https://scholar.google.com/scholar?q=related:rwTcZbwzYh4J:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
10,"I Bunkholt, RA Kleiv","The applicability of the Kubelka–Munk model in GCC brightness prediction",2014,"Minerals Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0892687513003804","https://scholar.google.com/scholar?cites=17090051018033998190&as_sdt=2005&sciodt=2007&hl=en",25,"2024-02-09 13:10:22","","","","",,,,,10,1.00,5,2,10,"… the Kubelka–Munk function, the results show that most of the contaminants tested follow the Kubelka–Munk … Hence, the Kubelka–Munk model can provide a useful method to predict the …","","https://scholar.google.com/scholar?q=related:bik4m9oOLO0J:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
31,"JMF Rodríguez, JAF Fernandez","Application of the second derivative of the Kubelka–Munk function to the semiquantitative analysis of Roman paintings",2005,"… Dutch Society for the Study of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/col.20157","https://scholar.google.com/scholar?cites=12572329848517791297&as_sdt=2005&sciodt=2007&hl=en",26,"2024-02-09 13:10:22","","10.1002/col.20157","","",,,,,31,1.63,16,2,19,"In the present survey, we have analyzed Roman paintings in two rooms in a villa at El Ruedo (Almedinilla, Córdoba, Spain). We used different techniques and procedures, such as X‐…","","https://scholar.google.com/scholar?q=related:QY7x22Ljea4J:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
31,"H Jamil, IM Dildar, U Ilyas, JZ Hashmi, S Shaukat…","Microstructural and Optical study of polycrystalline manganese oxide films using Kubelka-Munk function",2021,"Thin Solid Films","Elsevier","https://www.sciencedirect.com/science/article/pii/S0040609021002790","https://scholar.google.com/scholar?cites=14623668836014415520&as_sdt=2005&sciodt=2007&hl=en",27,"2024-02-09 13:10:22","","","","",,,,,31,10.33,5,6,3,"… Kubelka-Munk function, F(R). Diffuse Reflectance spectra of diffusing samples studied using Kubelka-Munk … As c and s do not, spectrum obtained from Kubelka-Munk function can be …","","https://scholar.google.com/scholar?q=related:oN6Wq1O18coJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
225,"V Džimbeg-Malčić, Ž Barbarić-Mikočević, K Itrić","Kubelka-Munk theory in describing optical properties of paper (I)",2011,"Tehnički vjesnik","hrcak.srce.hr","https://hrcak.srce.hr/65936","https://scholar.google.com/scholar?cites=5531601770118773998&as_sdt=2005&sciodt=2007&hl=en",28,"2024-02-09 13:10:22","","","","",,,,,225,17.31,75,3,13,"… One of the most famous two-flux approximations is the approximation presented by Kubelka and Munk [2] in 1931 and further developed by Kubelka [3,4]. Kubelka and Munk gave a …","","https://scholar.google.com/scholar?q=related:7vzZkoAyxEwJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
70,"SS Mikhail, SS Azer, WM Johnston","Accuracy of Kubelka–Munk reflectance theory for dental resin composite material",2012,"Dental Materials","Elsevier","https://www.sciencedirect.com/science/article/pii/S0109564112000632","https://scholar.google.com/scholar?cites=11721604859570600610&as_sdt=2005&sciodt=2007&hl=en",29,"2024-02-09 13:10:22","","","","",,,,,70,5.83,23,3,12,"OBJECTIVE: The objective of this study is to determine the effect of interfacial reflection correction (IRC) on the accuracy of this reflectance model for contemporary dental resin …","","https://scholar.google.com/scholar?q=related:oroyHISBq6IJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
82,"AA Kokhanovsky","Physical interpretation and accuracy of the Kubelka–Munk theory",2007,"journal of physics d: applied physics","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/0022-3727/40/7/053/meta","https://scholar.google.com/scholar?cites=18123068873901810197&as_sdt=2005&sciodt=2007&hl=en",30,"2024-02-09 13:10:22","","10.1088/0022-3727/40/7/053","","",,,,,82,4.82,82,1,17,"… of Kubelka–Munk parameters from first principles. In this work, Kubelka–Munk equations are … We consider the relationship of the asymptotic theory with the results of the Kubelka–Munk …","https://www.researchgate.net/profile/Alexander-Kokhanovsky-2/publication/228682836_Physical_interpretation_and_accuracy_of_the_Kubelka-Munk_theory/links/0c96051adb4fe4e5b6000000/Physical-interpretation-and-accuracy-of-the-Kubelka-Munk-theory.pdf","https://scholar.google.com/scholar?q=related:FSLb5B4TgvsJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
72,"OE Pecho, R Ghinea, AM Ionescu, JC Cardona…","Optical behavior of dental zirconia and dentin analyzed by Kubelka–Munk theory",2015,"Dental Materials","Elsevier","https://www.sciencedirect.com/science/article/pii/S0109564114006666","https://scholar.google.com/scholar?cites=8367870777345369339&as_sdt=2005&sciodt=2007&hl=en",31,"2024-02-09 13:10:22","","","","",,,,,72,8.00,14,5,9,"… Kubelka–Munk (K–M) reflectance theory is a mathematical … on the relationship between Kubelka–Munk S and K coefficients … The objective of this study was to use the Kubelka–Munk …","https://www.researchgate.net/profile/Oscar-Pecho/publication/269713912_Optical_behavior_of_dental_zirconia_and_dentinanalyzed_by_Kubelka-Munk_theory/links/59e5df3c0f7e9b0e1ab2566b/Optical-behavior-of-dental-zirconia-and-dentinanalyzed-by-Kubelka-Munk-theory.pdf","https://scholar.google.com/scholar?q=related:--QKGiOmIHQJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
12,"MI Joaneli, DP Osterman, D Golob","Textile surface structure importance and Kubelka-Munk theory use in colour match calculations",2006,"Colourage","bib.irb.hr","https://www.bib.irb.hr/266503/download/266503.Joaneli_Parac_Osterman_Golob_paper.doc","https://scholar.google.com/scholar?cites=9414569088100867394&as_sdt=2005&sciodt=2007&hl=en",32,"2024-02-09 13:10:22","DOC","","","",,,,,12,0.67,4,3,18,"… is usually modeled through Kubelka–Munk theory. The Kubelka–Munk colour model describes … In this paper the aim was to point out the shortcomings of Kubelka – Munk theory and to …","https://www.bib.irb.hr/266503/download/266503.Joaneli_Parac_Osterman_Golob_paper.doc","https://scholar.google.com/scholar?q=related:Qh2ggbREp4IJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
10,"Y Abouliatim, Y El Hafiane, A Smith, M Mesnaoui…","Study of borosilicate glaze opacification by phosphates using Kubelka-Munk model",2017,"Ceramics …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272884217302377","https://scholar.google.com/scholar?cites=8348623970396243980&as_sdt=2005&sciodt=2007&hl=en",33,"2024-02-09 13:10:22","","","","",,,,,10,1.43,2,5,7,"The aim of this work was to study the effects of additions of sodium metaphospahte (1–50 Wt. %) on optical properties of a conventional borosilicate glaze. The optical properties were …","https://www.academia.edu/download/86763157/j.ceramint.2017.02.04620220531-1-18ediba.pdf","https://scholar.google.com/scholar?q=related:DIjHpkRF3HMJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
43,"H Granberg, P Edstrom","Quantification of the intrinsic error of the Kubelka-Munk model caused by strong light absorption",2003,"Journal of pulp and paper science","researchgate.net","https://www.researchgate.net/profile/Hjalmar-Granberg/publication/228977468_Quantification_of_the_Intrinsic_Error_of_the_Kubelka-Munk_Model_Caused_by_Strong_Light_Absorption/links/0deec52d6422a831fc000000/Quantification-of-the-Intrinsic-Error-of-the-Kubelka-Munk-Model-Caused-by-Strong-Light-Absorption.pdf","https://scholar.google.com/scholar?cites=8122037345266631749&as_sdt=2005&sciodt=2007&hl=en",34,"2024-02-09 13:10:22","PDF","","","",,,,,43,2.05,22,2,21,"The Kubelka–Munk (KM) model [1–3] is used widely within the paper industry to interpret diffuse reflectance factor measurements of paper [4]. This model considers the interaction of …","https://www.researchgate.net/profile/Hjalmar-Granberg/publication/228977468_Quantification_of_the_Intrinsic_Error_of_the_Kubelka-Munk_Model_Caused_by_Strong_Light_Absorption/links/0deec52d6422a831fc000000/Quantification-of-the-Intrinsic-Error-of-the-Kubelka-Munk-Model-Caused-by-Strong-Light-Absorption.pdf","https://scholar.google.com/scholar?q=related:RQQT4e5Ft3AJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
